date,stock_code,total_shares,total_scripless,cp_domestic,fd_domestic,ib_domestic,id_domestic,is_domestic,mf_domestic,ot_domestic,pf_domestic,sc_domestic,cp_foreign,fd_foreign,ib_foreign,id_foreign,is_foreign,mf_foreign,ot_foreign,pf_foreign,sc_foreign,total_domestic,total_foreign,calculated_total,parsed_date,year,month,month_name,year_month
30-Jan-2026,AADI,7786891760.0,7786891760.0,649413665.0,1966845.0,41.0,1412034925.0,58704495.0,91475881.0,85275.0,13135269.0,27984191.0,55820749.0,2493100.0,207783974.0,4741976.0,1150700.0,239139003.0,71121012.0,58897143.0,39765137.0,2254800587.0,680912794.0,2935713381.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,AALI,1924688333.0,390797093.0,27396698.0,3795112.0,49700.0,134212280.0,64692116.0,7086833.0,4742227.0,5385818.0,63505.0,17599108.0,190500.0,16811387.0,1437128.0,1062000.0,37400012.0,12730764.0,27685831.0,28456074.0,247424289.0,143372804.0,390797093.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ABBA,3935892857.0,3477656308.0,232754965.0,71.0,0.0,1058890110.0,0.0,0.0,0.0,0.0,524.0,1320400.0,0.0,41020085.0,7062513.0,0.0,0.0,0.0,0.0,1733900.0,1291645670.0,51136898.0,1342782568.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ABDA,620806680.0,619769070.0,40448.0,486034.0,98.0,442957.0,0.0,0.0,20.0,0.0,7575.0,21728234.0,0.0,28003600.0,1500.0,0.0,0.0,0.0,0.0,30503300.0,977132.0,80236634.0,81213766.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ABMM,2753165000.0,2753165000.0,19357100.0,0.0,0.0,265822900.0,1847600.0,420000.0,0.0,86000.0,1536475.0,102790912.0,0.0,6582849.0,548500.0,0.0,10362467.0,5806879.0,3242509.0,3352509.0,289070075.0,132686625.0,421756700.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ACES,17120389700.0,17120289700.0,606860700.0,16324814.0,6200000.0,2202562091.0,350606900.0,253745374.0,10539900.0,96488900.0,30630049.0,365337830.0,0.0,582797390.0,16578100.0,6415500.0,1029725944.0,963650415.0,175015114.0,134620979.0,3573958728.0,3274141272.0,6848100000.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ACRO,3469345537.0,3469345537.0,24700.0,0.0,0.0,324821086.0,0.0,0.0,75000.0,0.0,102.0,0.0,0.0,4863700.0,419383154.0,0.0,0.0,0.0,0.0,105300.0,324920888.0,424352154.0,749273042.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ACST,17675160000.0,17675160000.0,106118567.0,0.0,0.0,1429941673.0,0.0,0.0,80.0,0.0,1071.0,573140.0,0.0,6794944.0,14849262.0,0.0,0.0,0.0,0.0,1853295.0,1536061391.0,24070641.0,1560132032.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ADCP,22222222200.0,2222222200.0,463927700.0,400.0,0.0,1586228200.0,0.0,0.0,147078400.0,1200000.0,1558700.0,0.0,0.0,16553300.0,5461500.0,0.0,0.0,0.0,0.0,214000.0,2199993400.0,22228800.0,2222222200.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ADES,589896800.0,589208372.0,2672100.0,0.0,350.0,42344377.0,0.0,0.0,0.0,0.0,471.0,114997.0,0.0,4126764.0,152200.0,0.0,111500.0,316000.0,60300.0,412600.0,45017298.0,5294361.0,50311659.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ADHI,8407608979.0,2998825187.0,325200573.0,15300235.0,3000000.0,2233363434.0,23082479.0,720502.0,985047.0,44623904.0,237260132.0,5935246.0,0.0,36029296.0,31968793.0,0.0,20003858.0,9030883.0,6188100.0,6132705.0,2883536306.0,115288881.0,2998825187.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ADMF,1235803109.0,1235703109.0,689588.0,71.0,9816154.0,46259230.0,5177593.0,7830900.0,0.0,106600.0,180249.0,185735.0,8600.0,293755.0,822515.0,0.0,1082312.0,0.0,530139.0,8178209.0,70060385.0,11101265.0,81161650.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ADMG,3889179559.0,3845265793.0,100.0,0.0,0.0,502071687.0,1030000.0,83.0,0.0,2290400.0,450027.0,18062.0,0.0,7667428.0,2463200.0,0.0,0.0,0.0,0.0,4353796.0,505842297.0,14502486.0,520344783.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ADMR,40882331500.0,40882331500.0,1236738891.0,29838100.0,0.0,1715603075.0,441390300.0,557225164.0,197300.0,78717100.0,10629976.0,538223937.0,0.0,797968045.0,8907200.0,11085700.0,228033448.0,183576100.0,195288930.0,92367134.0,4070339906.0,2055450494.0,6125790400.0,2026-01-30,2026,1,January,2026-01
30-Jan-2026,ADRO,29389689400.0,29389689400.0,2314686153.0,15615000.0,1500.0,5991141228.0,620293332.0,637712745.0,507700.0,108147568.0,52147984.0,649002367.0,30087300.0,469131738.0,22889732.0,10786600.0,1350536439.0,593495000.0,255214526.0,246234278.0,9740253210.0,3627377980.0,13367631190.0,2026-01-30,2026,1,January,2026-01
