Period,Category,Investor_Type,Investor_Code,Total_Shares,Percentage
February 2026,Domestic,Corporate (PT),CP,671904730008.0,5.325228715467115
February 2026,Domestic,Foundation,FD,5286343186.0,0.04189728882183332
February 2026,Domestic,Financial Institution,IB,10020149344.0,0.07941540613846021
February 2026,Domestic,Individual,ID,1471488878046.0,11.662389737556614
February 2026,Domestic,Insurance,IS,136233380021.0,1.0797273406370207
February 2026,Domestic,Mutual Fund,MF,156185092656.0,1.2378560578517142
February 2026,Domestic,Pension Fund,PF,22227699229.0,0.17616721080625183
February 2026,Domestic,Securities Company,SC,72091687926.0,0.5713677989518815
February 2026,Domestic,Others,OT,15592888474.0,0.12358254637950285
February 2026,Foreign,Corporate (PT),CP,574627632266.0,4.554252160134886
February 2026,Foreign,Foundation,FD,2264456763.0,0.017947113096104764
February 2026,Foreign,Financial Institution,IB,367169886270.0,2.9100310423421467
February 2026,Foreign,Individual,ID,45290783032.0,0.358955321456251
February 2026,Foreign,Insurance,IS,14542201553.0,0.11525525247489184
February 2026,Foreign,Mutual Fund,MF,298403939187.0,2.365021638928178
February 2026,Foreign,Pension Fund,PF,114154564480.0,0.9047401180868312
February 2026,Foreign,Securities Company,SC,109225705294.0,0.8656760941269633
February 2026,Foreign,Others,OT,260742590266.0,2.0665339400323126
February 2026,Domestic,TOTAL DOMESTIC,TOT_DOM,2561030848890.0,20.297632102610393
February 2026,Foreign,TOTAL FOREIGN,TOT_FOR,1786421759111.0,14.158412680678564
February 2026,All,TOTAL ALL SHARES,TOTAL,12617387269329.0,100.0
March 2026,Domestic,Corporate (PT),CP,679140107461.0,5.382552891405869
March 2026,Domestic,Foundation,FD,5280565750.0,0.04185134132658113
March 2026,Domestic,Financial Institution,IB,11373153642.0,0.09013839758192412
March 2026,Domestic,Individual,ID,1482523142022.0,11.749798218366703
March 2026,Domestic,Insurance,IS,135705491363.0,1.0755394606959152
March 2026,Domestic,Mutual Fund,MF,150791127524.0,1.1951012913771497
March 2026,Domestic,Pension Fund,PF,22162701376.0,0.17565140250475345
March 2026,Domestic,Securities Company,SC,75422351311.0,0.5977629515113934
March 2026,Domestic,Others,OT,14937220774.0,0.11838555841922285
March 2026,Foreign,Corporate (PT),CP,565555821212.0,4.482335952881242
March 2026,Foreign,Foundation,FD,2022172747.0,0.0160268133875631
March 2026,Foreign,Financial Institution,IB,374454774620.0,2.967756737805912
March 2026,Foreign,Individual,ID,47232238918.0,0.37434105475835555
March 2026,Foreign,Insurance,IS,14579845375.0,0.11555316497629071
March 2026,Foreign,Mutual Fund,MF,341568856125.0,2.7071180363992737
March 2026,Foreign,Pension Fund,PF,110813719630.0,0.878258698682654
March 2026,Foreign,Securities Company,SC,84845737788.0,0.6724483891278488
March 2026,Foreign,Others,OT,241086672542.0,1.910742352151365
March 2026,Domestic,TOTAL DOMESTIC,TOT_DOM,2577335861223.0,20.426781513189514
March 2026,Foreign,TOTAL FOREIGN,TOT_FOR,1782159838957.0,14.124581200170505
March 2026,All,TOTAL ALL SHARES,TOTAL,12617434907985.0,100.0
December 2025,Domestic,Corporate (PT),CP,694560895050.0,5.521590287577862
December 2025,Domestic,Foundation,FD,5362734093.0,0.042632432510672585
December 2025,Domestic,Financial Institution,IB,9767617915.0,0.07765018819315045
December 2025,Domestic,Individual,ID,1399171384391.0,11.123072406997608
December 2025,Domestic,Insurance,IS,136818532339.0,1.0876740753872938
December 2025,Domestic,Mutual Fund,MF,154920522381.0,1.2315804961404273
December 2025,Domestic,Pension Fund,PF,24737844384.0,0.19665984978390402
December 2025,Domestic,Securities Company,SC,76025752242.0,0.6043862506181098
December 2025,Domestic,Others,OT,15456702226.0,0.12287702561043386
December 2025,Foreign,Corporate (PT),CP,546712867647.0,4.34623440738944
December 2025,Foreign,Foundation,FD,2112463775.0,0.016793573531173802
December 2025,Foreign,Financial Institution,IB,363356667097.0,2.8885971817129548
December 2025,Foreign,Individual,ID,43933972553.0,0.34926440269271697
December 2025,Foreign,Insurance,IS,13221437202.0,0.10510721199921348
December 2025,Foreign,Mutual Fund,MF,303975433546.0,2.4165308088775093
December 2025,Foreign,Pension Fund,PF,112235572492.0,0.8922455200244981
December 2025,Foreign,Securities Company,SC,107631022502.0,0.8556404668396073
December 2025,Foreign,Others,OT,269711023977.0,2.144137081510867
December 2025,Domestic,TOTAL DOMESTIC,TOT_DOM,2516821985021.0,20.00812301281946
December 2025,Foreign,TOTAL FOREIGN,TOT_FOR,1762890460791.0,14.014550654577981
