stock_code,total_domestic,total_shares,domestic_pct
HKMU,3207929500.0,3221750000.0,99.571025064018
TAXI,9860285819.0,10223647156.0,96.44587365491431
PADI,10531629562.0,11307246524.0,93.1405319557354
WIRG,10478713296.0,11938622394.0,87.77154474092667
CARS,12414863920.0,15000000000.0,82.76575946666667
TGRA,2266272800.0,2750000000.0,82.40992
LCGP,4620046573.0,5630000914.0,82.06120467070318
MIRA,3209467930.0,3961452039.0,81.01746274858787
ELTY,35204032138.0,43521913019.0,80.88806234834225
DEAL,917407518.0,1146170959.0,80.04107160422305
IKAI,10539295673.0,13305799387.0,79.2082863003111
LMAS,617397275.0,787851525.0,78.3646734706771
TMPI,4229732544.0,5502083747.0,76.87510293361589
ENVY,1376393358.0,1800000000.0,76.46629766666668
SIMA,335964159.0,442589871.0,75.90868680318262
EDJSB,3279609.0,4681638.0,70.0525969756739
ASMI,6218474260.0,8958380460.0,69.415161454306
PCAR,800710975.0,1166666700.0,68.6323673247895
TARA,6905468095.0,10069645750.0,68.57707079715291
DADA,5069236800.0,7431530800.0,68.21255184732598
BOGA,2580315359.0,3803526210.0,67.8400835576206
DUCK,866074960.0,1283330000.0,67.48653580918392
GAMA,6618972956.0,10011027656.0,66.11681820729953
BOSS,925506314.0,1400000000.0,66.10759385714286
FIMP,260124775.0,400000975.0,65.03103523685161
KREN,11444660945.0,18208470100.0,62.853501047295566
JSKY,1276514868.0,2032540000.0,62.803923563619904
MENN,894537606.0,1434052006.0,62.37832395598629
BCIP,890658425.0,1429915525.0,62.28748547925584
MKNT,3416715538.0,5500000000.0,62.122100690909086
YELO,1181847259.0,1912774405.0,61.787069918472696
POOL,1444161504.0,2341366264.0,61.680290102616766
KARK,11913314013.0,19324488028.0,61.648795019761124
PURE,846881748.0,1375181505.0,61.583270638881956
WSBP,34379824967.0,56780478486.0,60.54867074689554
SMKM,757696889.0,1253000000.0,60.47062162809258
MAMI,7434059640.0,12299317590.0,60.44286266779781
LABA,665943853.0,1103402553.0,60.35366251323146
MABA,9232185971.0,15365229912.0,60.08491915757024
HOME,13200030152.0,22212194782.0,59.42695119303046
DEWA,23876962276.0,40687434244.0,58.68387309165614
YULE,1039756954.0,1785000000.0,58.24968929971989
STAR,2773122602.0,4800000602.0,57.77338029592188
MYRXP,645937179.0,1120995000.0,57.62177164037306
GDWU,144751300.0,252000000.0,57.44099206349207
KOTA,6047350058.0,10546185701.0,57.34158518967274
NASA,6301148876.0,11004929322.0,57.25751335270593
KBLV,992330736.0,1742167907.0,56.95953484235547
ARTI,4457426563.0,7840000000.0,56.854930650510205
NUSA,4372569178.0,7700000148.0,56.78661160981577
