stock_code,total_foreign,total_shares,foreign_pct
GOTO,678443246208.0,1191144997220.0,56.95723424028234
EAST,1818869980.0,4126405336.0,44.07880059992245
BHIT,35573139854.0,86068156705.0,41.33136018693593
TLKM,38571978983.0,99062216600.0,38.93712487652936
MREI,200760149.0,517791681.0,38.77237822984645
INDF,3218507380.0,8780426500.0,36.65547886540591
JPFA,4046014944.0,11726575201.0,34.50295482397086
MORA,7979367642.0,23646668691.0,33.744151221761626
ASII,13514944785.0,40483553140.0,33.38379103796223
AMRT,13829754167.0,41524501700.0,33.30504545705361
MAPI,5438364295.0,16600000000.0,32.76123069277108
LMSH,30597400.0,96000000.0,31.87229166666667
KPIG,31714813016.0,99857559263.0,31.76005226852287
BBCA,38548343896.0,123275050000.0,31.270191247945146
BISI,913441722.0,3000000000.0,30.4480574
NATO,2421883712.0,8001111504.0,30.269340838322606
BMRI,27895908429.0,93333333332.0,29.888473317212693
BBRI,44459354167.0,151559001604.0,29.334683982126876
INTP,1030972645.0,3515602799.0,29.32562931435987
CPIN,4769239634.0,16398000000.0,29.084276338577876
TBLA,1732409113.0,6025373372.0,28.751896455919745
BUDI,1268669611.0,4498997362.0,28.198940984397936
SMGR,1863010299.0,6751540089.0,27.59385672663522
CPRO,16276597061.0,59572382787.0,27.322387152443916
SMSM,1561102643.0,5758675440.0,27.10871031481503
MLIA,1788364245.0,6615000000.0,27.034984807256237
BFIN,4062150262.0,15039383620.0,27.010084752396256
MDKA,6220364276.0,24472983771.0,25.41726964805578
UNTR,944067825.0,3730135136.0,25.3092124166946
BRMS,35107984037.0,141784040338.0,24.76159090494658
BYAN,8178851803.0,33333335000.0,24.536554182172292
PTSP,54036380.0,220808000.0,24.472111517698632
MNCN,3663682609.0,15049787710.0,24.343749424223606
BRPT,22730589389.0,93747218044.0,24.246681515745312
EXCL,4390566876.0,18199862451.0,24.124176145950806
PGAS,5766583084.0,24241508196.0,23.788054098678245
MICE,141874294.0,600000000.0,23.645715666666668
VIVA,3884138227.0,16464270400.0,23.59131703157645
BHAT,1170052925.0,5000000000.0,23.401058499999998
APII,250835000.0,1075760000.0,23.31700379266751
CTRA,4302514126.0,18535695255.0,23.212046091658728
AKRA,4656590206.0,20073474600.0,23.197728837637307
BAYU,81493022.0,353220780.0,23.07141216323683
MAIN,510828546.0,2238750000.0,22.817578827470687
MAPA,6457386805.0,28504000000.0,22.654318007998878
INVS,2262209745.0,9990273135.0,22.644123082827004
BBNI,8444420112.0,37297312916.0,22.640827051048674
HEAL,3430475921.0,15365950000.0,22.325179510541165
LPKR,15506023239.0,70898018369.0,21.87088383528075
SPTO,589875385.0,2700000000.0,21.84723648148148
