stock_code,total_foreign,total_shares,foreign_pct
GOTO,671505456759.0,1191144997220.0,56.37478714398492
EAST,1819502280.0,4126405336.0,44.094123864326065
BHIT,35607738654.0,86068156705.0,41.371559490981205
TLKM,38635224942.0,99062216600.0,39.00096956037626
MREI,200864649.0,517791681.0,38.792560091362304
INDF,3127464670.0,8780426500.0,35.61859631761624
JPFA,4018639943.0,11726575201.0,34.26951069786603
MORA,7979967342.0,23646668691.0,33.74668730837846
ASII,13572314355.0,40483553140.0,33.525501845315546
NATO,2671882112.0,8001111504.0,33.39388672016687
AMRT,13832879195.0,41524501700.0,33.31257120178759
MAPI,5369633923.0,16600000000.0,32.347192307228916
LMSH,30597400.0,96000000.0,31.87229166666667
KPIG,30746163337.0,99857559263.0,30.790020869649183
BBCA,37907406422.0,123275050000.0,30.750266515405993
BISI,913124922.0,3000000000.0,30.4374974
BMRI,27695424869.0,93333333332.0,29.67366950292391
INTP,1031922759.0,3515602799.0,29.352654949914324
CPIN,4783177916.0,16398000000.0,29.169276228808393
BBRI,43655561956.0,151559001604.0,28.804334611589198
TBLA,1731305013.0,6025373372.0,28.733572280273954
BUDI,1268706911.0,4498997362.0,28.199770058011424
VIVA,4532639227.0,16464270400.0,27.53015540245257
SMGR,1845088789.0,6751540089.0,27.328413438677874
CPRO,16227928661.0,59572382787.0,27.24069090709813
SMSM,1561318509.0,5758675440.0,27.112458850433146
MLIA,1790401345.0,6615000000.0,27.065779969765686
BFIN,3959795617.0,15039383620.0,26.329507359158644
MDKA,6353876470.0,24472983771.0,25.962818957650835
UNTR,945924666.0,3730135136.0,25.358991873263864
BRMS,35283138147.0,141784040338.0,24.885126748319678
BYAN,8178768503.0,33333335000.0,24.536304282184787
PTSP,54028480.0,220808000.0,24.46853374877722
BRPT,22883114189.0,93747218044.0,24.409379463676323
MNCN,3656828609.0,15049787710.0,24.298207253582582
PGAS,5742335014.0,24241508196.0,23.68802703021391
MICE,141715694.0,600000000.0,23.619282333333334
BHAT,1169981725.0,5000000000.0,23.399634499999998
APII,250811200.0,1075760000.0,23.31479140328698
BAYU,81487322.0,353220780.0,23.069798441643215
AKRA,4591277960.0,20073474600.0,22.87236291419125
MAIN,507537946.0,2238750000.0,22.670595019542155
INVS,2262209745.0,9990273135.0,22.644123082827004
ESSA,3890768528.0,17226975700.0,22.585325455587657
SPTO,609182785.0,2700000000.0,22.56232537037037
CTRA,4179572878.0,18535695255.0,22.54877856212359
MAPA,6385063107.0,28504000000.0,22.400586258069044
LPKR,15778763205.0,70898018369.0,22.255577190996963
HEAL,3380143926.0,15365950000.0,21.99762413648359
BBNI,7999140373.0,37297312916.0,21.44696158411049
