DATE,SHARE_CODE,ISSUER_NAME,INVESTOR_NAME,INVESTOR_TYPE,LOCAL_FOREIGN,NATIONALITY,DOMICILE,HOLDINGS_SCRIPLESS,HOLDINGS_SCRIP,TOTAL_HOLDING_SHARES,PERCENTAGE,ISSUER_NAME_CLEAN,INVESTOR_NAME_CLEAN,SOURCE_DATE_STR
2026-02-27,AADI,ADARO ANDALAN INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,CP,D,,INDONESIA,3200142830,0,3200142830,41.1,Adaro Andalan Indonesia,Adaro Strategic Investments,2026-03-10
2026-02-27,AADI,ADARO ANDALAN INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,CP,D,,INDONESIA,1197023942,0,1197023942,15.37,Adaro Andalan Indonesia,Alamtri Resources Indonesia,2026-03-10
2026-02-27,AADI,ADARO ANDALAN INDONESIA Tbk,GARIBALDI THOHIR,ID,D,INDONESIAN,INDONESIA,454011607,0,454011607,5.83,Adaro Andalan Indonesia,Garibaldi Thohir,2026-03-10
2026-02-27,AADI,ADARO ANDALAN INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,CP,D,,INDONESIA,340897429,0,340897429,4.38,Adaro Andalan Indonesia,Saratoga Investama Sedaya,2026-03-10
2026-02-27,AADI,ADARO ANDALAN INDONESIA Tbk,EDWIN SOERYADJAYA,ID,D,INDONESIAN,INDONESIA,273955636,0,273955636,3.52,Adaro Andalan Indonesia,Edwin Soeryadjaya,2026-03-10
2026-02-27,AADI,ADARO ANDALAN INDONESIA Tbk,IR. T. PERMADI RACHMAT,ID,D,INDONESIAN,INDONESIA,254992918,0,254992918,3.27,Adaro Andalan Indonesia,T Permadi Rachmat,2026-03-10
2026-02-27,AADI,ADARO ANDALAN INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,ID,D,INDONESIAN,INDONESIA,159027175,0,159027175,2.04,Adaro Andalan Indonesia,Sandiaga Salahuddin Uno,2026-03-10
2026-02-27,AADI,ADARO ANDALAN INDONESIA Tbk,PERSADA CAPITAL INVESTAMA,CP,D,,INDONESIA,119887170,0,119887170,1.54,Adaro Andalan Indonesia,Persada Capital Investama,2026-03-10
2026-02-27,AADI,ADARO ANDALAN INDONESIA Tbk,FTAG INVESTMENT BANK LTD,IB,F,,MALAYSIA,100722000,0,100722000,1.29,Adaro Andalan Indonesia,Ftag Investment Bank,2026-03-10
2026-02-27,AADI,ADARO ANDALAN INDONESIA Tbk,PT TRINUGRAHA THOHIR,CP,D,,INDONESIA,89926520,0,89926520,1.15,Adaro Andalan Indonesia,Trinugraha Thohir,2026-03-10
2026-02-27,AALI,ASTRA AGRO LESTARI Tbk,PT ASTRA INTERNATIONAL TBK,CP,D,,INDONESIA,0,1533682440,1533682440,79.68,Astra Agro Lestari,Astra International,2026-03-10
2026-02-27,AALI,ASTRA AGRO LESTARI Tbk,DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,IS,D,,INDONESIA,41979300,0,41979300,2.18,Astra Agro Lestari,BPJS Ketenagakerjaan,2026-03-10
2026-02-27,ABBA,MAHAKA MEDIA Tbk,PT. Beyond Media,CP,D,,INDONESIA,1592831618,0,1592831618,40.47,Mahaka Media,Beyond Media,2026-03-10
2026-02-27,ABBA,MAHAKA MEDIA Tbk,SOLIC KREASI BARU PT,CP,D,,INDONESIA,542042122,0,542042122,13.77,Mahaka Media,Solic Kreasi Baru,2026-03-10
2026-02-27,ABBA,MAHAKA MEDIA Tbk,MEDIAHUIS IRELAND LIMITED,,,,,0,282886300,282886300,7.19,Mahaka Media,Mediahuis Ireland,2026-03-10
2026-02-27,ABBA,MAHAKA MEDIA Tbk,DRS. WINARTO,ID,D,INDONESIAN,,178745400,0,178745400,4.54,Mahaka Media,Winarto,2026-03-10
2026-02-27,ABBA,MAHAKA MEDIA Tbk,YAYASAN ABDI BANGSA,,,,,0,111372886,111372886,2.83,Mahaka Media,Yayasan Abdi Bangsa,2026-03-10
2026-02-27,ABBA,MAHAKA MEDIA Tbk,YAYASAN BINA SEJAHTERA WARGA BULOG,,,,,0,52975286,52975286,1.35,Mahaka Media,Yayasan Bina Sejahtera Warga Bulog,2026-03-10
2026-02-27,ABBA,MAHAKA MEDIA Tbk,KAIROS EKSPRES INTERNASIONAL PT,CP,D,,INDONESIA,52362500,0,52362500,1.33,Mahaka Media,Kairos Ekspres Internasional,2026-03-10
2026-02-27,ABBA,MAHAKA MEDIA Tbk,PT.Grid One Media,CP,D,,INDONESIA,43791628,0,43791628,1.11,Mahaka Media,Grid One Media,2026-03-10
2026-02-27,ABBA,MAHAKA MEDIA Tbk,TJEN FOENG FA,ID,D,INDONESIAN,INDONESIA,41856300,0,41856300,1.06,Mahaka Media,Tjen Foeng Fa,2026-03-10
2026-02-27,ABBA,MAHAKA MEDIA Tbk,PEARL HILL INVESTMENTS LTD,IB,F,,"VIRGIN ISLANDS, BRITISH",39999999,0,39999999,1.02,Mahaka Media,Pearl Hill Investments,2026-03-10
2026-02-27,ABDA,ASURANSI BINA DANA ARTA Tbk,OONA INDONESIA PTE LTD,IS,F,,SINGAPORE,538555304,0,538555304,86.75,Asuransi Bina Dana Arta,Oona Indonesia,2026-03-10
2026-02-27,ABDA,ASURANSI BINA DANA ARTA Tbk,MAYBANK SECURITIES PTE. LTD.,SC,F,,SINGAPORE,30499400,0,30499400,4.91,Asuransi Bina Dana Arta,Maybank,2026-03-10
2026-02-27,ABDA,ASURANSI BINA DANA ARTA Tbk,DBS BANK LTD.,IB,F,,SINGAPORE,28000000,0,28000000,4.51,Asuransi Bina Dana Arta,DBS,2026-03-10
2026-02-27,ABDA,ASURANSI BINA DANA ARTA Tbk,SKYLIGHT INVESTMENT LTD,CP,F,,CAYMAN ISLANDS,21728234,0,21728234,3.5,Asuransi Bina Dana Arta,Skylight Investment,2026-03-10
2026-02-27,ABMM,ABM INVESTAMA Tbk,PT TIARA MARGA TRAKINDO,CP,D,,INDONESIA,1474573133,0,1474573133,53.56,Abm Investama,Tiara Marga Trakindo,2026-03-10
2026-02-27,ABMM,ABM INVESTAMA Tbk,VALLE VERDE PTE LTD,CP,F,,SINGAPORE,702349867,0,702349867,25.51,Abm Investama,Valle Verde,2026-03-10
2026-02-27,ABMM,ABM INVESTAMA Tbk,LO KHENG HONG. DRS,ID,D,INDONESIAN,INDONESIA,154835300,0,154835300,5.62,Abm Investama,Lo Kheng Hong,2026-03-10
2026-02-27,ABMM,ABM INVESTAMA Tbk,NOBLE INVESTMENT CORPORATION (SPC) LTD.,CP,F,,CAYMAN ISLANDS,96446100,0,96446100,3.5,Abm Investama,Noble Investment (),2026-03-10
2026-02-27,ACES,ASPIRASI HIDUP INDONESIA Tbk,PT KAWAN LAMA SEJAHTERA,CP,D,,INDONESIA,10272189700,0,10272189700,60.0,Aspirasi Hidup Indonesia,Kawan Lama Sejahtera,2026-03-10
2026-02-27,ACES,ASPIRASI HIDUP INDONESIA Tbk,DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,IB,F,,UNITED KINGDOM,494894900,0,494894900,2.89,Aspirasi Hidup Indonesia,DBS,2026-03-10
2026-02-27,ACES,ASPIRASI HIDUP INDONESIA Tbk,GOVERNMENT OF NORWAY,OT,F,,NORWAY,236964100,0,236964100,1.38,Aspirasi Hidup Indonesia,Gov Norway,2026-03-10
2026-02-27,ACES,ASPIRASI HIDUP INDONESIA Tbk,ARISAIG ASIA FUND LIMITED,OT,F,,"VIRGIN ISLANDS, BRITISH",206512200,0,206512200,1.21,Aspirasi Hidup Indonesia,Arisaig Asia,2026-03-10
2026-02-27,ACES,ASPIRASI HIDUP INDONESIA Tbk,NT TST CO S/A EDGBASTON ASIAN EQUITY (JERSEY) TRUST,OT,F,,JERSEY,194347500,0,194347500,1.14,Aspirasi Hidup Indonesia,Nt Tst Edgbaston Asian Equity (jersey),2026-03-10
2026-02-27,ACES,ASPIRASI HIDUP INDONESIA Tbk,PT PRUDENTIAL LIFE ASSURANCE,IS,D,,INDONESIA,182363700,0,182363700,1.07,Aspirasi Hidup Indonesia,Prudential Life Assurance,2026-03-10
2026-02-27,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,TAE SUNG CHUNG,ID,D,SOUTH KOREAN,INDONESIA,2720072495,0,2720072495,78.4,Samcro Hyosung Adilestari,Tae Sung Chung,2026-03-10
2026-02-27,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,JOO HEE KO,ID,D,SOUTH KOREAN,INDONESIA,155398000,0,155398000,4.48,Samcro Hyosung Adilestari,Joo Hee Ko,2026-03-10
2026-02-27,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,SUMAN KIM,ID,D,SOUTH KOREAN,INDONESIA,131628700,0,131628700,3.79,Samcro Hyosung Adilestari,Suman Kim,2026-03-10
2026-02-27,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,KYUNGHEE KO,ID,F,SOUTH KOREAN,INDONESIA,106185900,0,106185900,3.06,Samcro Hyosung Adilestari,Kyunghee Ko,2026-03-10
2026-02-27,ACST,ACSET INDONUSA Tbk,PT. KARYA SUPRA PERKASA,CP,D,,INDONESIA,16115027968,0,16115027968,91.17,Acset Indonusa,Karya Supra Perkasa,2026-03-10
2026-02-27,ADCP,ADHI COMMUTER PROPERTI Tbk,ADHI KARYA PERSERO TBK PT.,CP,D,,INDONESIA,0,19999900000,19999900000,90.0,Adhi Commuter Properti,Adhi Karya Persero,2026-03-10
2026-02-27,ADES,AKASHA WIRA INTERNATIONAL Tbk,WATER PARTNERS BOTTLING SA,CP,F,,SWITZERLAND,538896713,0,538896713,91.35,Akasha Wira International,Water Partners Bottling Sa,2026-03-10
2026-02-27,ADES,AKASHA WIRA INTERNATIONAL Tbk,DRS SURONO SUBEKTI,ID,D,INDONESIAN,INDONESIA,6106500,0,6106500,1.04,Akasha Wira International,Surono Subekti,2026-03-10
2026-02-27,ADHI,ADHI KARYA (PERSERO) Tbk,PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,CP,D,,,0,5408773791,5408773791,64.33,Adhi Karya,Perusahaan Perseroan (persero) Danantara Asset Management,2026-03-10
2026-02-27,ADHI,ADHI KARYA (PERSERO) Tbk,"PANIN SEKURITAS Tbk, PT",SC,D,,INDONESIA,225739168,0,225739168,2.68,Adhi Karya,Panin Sekuritas,2026-03-10
2026-02-27,ADHI,ADHI KARYA (PERSERO) Tbk,PT. MITRACOMM EKASARANA,CP,D,,INDONESIA,158419800,0,158419800,1.88,Adhi Karya,Mitracomm Ekasarana,2026-03-10
2026-02-27,ADHI,ADHI KARYA (PERSERO) Tbk,"SALIM, LIM",ID,D,INDONESIAN,INDONESIA,140179823,0,140179823,1.67,Adhi Karya,Salim Lim,2026-03-10
2026-02-27,ADHI,ADHI KARYA (PERSERO) Tbk,PT WARUNA NUSASENTANA,CP,D,,INDONESIA,96194100,0,96194100,1.14,Adhi Karya,Waruna Nusasentana,2026-03-10
2026-02-27,ADMF,ADIRA DINAMIKA MULTI FINANCE Tbk,"BANK DANAMON INDONESIA Tbk, PT - REGISTRAR",IB,D,,INDONESIA,920700000,0,920700000,74.5,Adira Dinamika Multi Finance,Bank Danamon Indonesia - Registrar,2026-03-10
2026-02-27,ADMF,ADIRA DINAMIKA MULTI FINANCE Tbk,MUFG Bank Ltd,IB,F,,JAPAN,233757759,0,233757759,18.92,Adira Dinamika Multi Finance,Mufg Bank,2026-03-10
2026-02-27,ADMG,POLYCHEM INDONESIA Tbk,PROVESTMENT LIMITED,OT,F,,"VIRGIN ISLANDS, BRITISH",1925414417,0,1925414417,49.51,Polychem Indonesia,Provestment,2026-03-10
2026-02-27,ADMG,POLYCHEM INDONESIA Tbk,"GAJAH TUNGGAL, TbK. PT.",CP,D,,INDONESIA,994150000,0,994150000,25.56,Polychem Indonesia,Gajah Tunggal,2026-03-10
2026-02-27,ADMG,POLYCHEM INDONESIA Tbk,PT SATYA MULIA GEMA GEMILANG,CP,D,,INDONESIA,405356593,0,405356593,10.42,Polychem Indonesia,Satya Mulia Gema Gemilang,2026-03-10
2026-02-27,ADMG,POLYCHEM INDONESIA Tbk,SOETIKNO HARTO SOEWITO,ID,D,INDONESIAN,,103005000,0,103005000,2.65,Polychem Indonesia,Soetikno Harto Soewito,2026-03-10
2026-02-27,ADMG,POLYCHEM INDONESIA Tbk,LO KHENG HONG. DRS,ID,D,INDONESIAN,INDONESIA,50318100,0,50318100,1.29,Polychem Indonesia,Lo Kheng Hong,2026-03-10
2026-02-27,ADMG,POLYCHEM INDONESIA Tbk,NEW WORLD GLOBAL LIMITED,CP,F,,,0,39997466,39997466,1.03,Polychem Indonesia,New World Global,2026-03-10
2026-02-27,ADMR,ALAMTRI MINERALS INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,CP,D,,INDONESIA,34933166100,0,34933166100,85.45,Alamtri Minerals Indonesia,Alamtri Resources Indonesia,2026-03-10
2026-02-27,ADMR,ALAMTRI MINERALS INDONESIA Tbk,VERANUS CAPITAL PTE. LTD.,IB,F,,SINGAPORE,532762560,0,532762560,1.3,Alamtri Minerals Indonesia,Veranus Capital,2026-03-10
2026-02-27,ADMR,ALAMTRI MINERALS INDONESIA Tbk,SILVERCITY ENTERPRISE LIMITED,CP,F,,HONG KONG,436463680,0,436463680,1.07,Alamtri Minerals Indonesia,Silvercity Enterprise,2026-03-10
2026-02-27,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,CP,D,,INDONESIA,14045425500,0,14045425500,47.79,Alamtri Resources Indonesia,Adaro Strategic Investments,2026-03-10
2026-02-27,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,GARIBALDI THOHIR,ID,D,INDONESIAN,INDONESIA,1976632710,0,1976632710,6.73,Alamtri Resources Indonesia,Garibaldi Thohir,2026-03-10
2026-02-27,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,CP,D,,INDONESIA,1174890670,0,1174890670,4.0,Alamtri Resources Indonesia,Saratoga Investama Sedaya,2026-03-10
2026-02-27,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,EDWIN SOERYADJAYA,ID,D,INDONESIAN,INDONESIA,1051738544,0,1051738544,3.58,Alamtri Resources Indonesia,Edwin Soeryadjaya,2026-03-10
2026-02-27,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,IR. T. PERMADI RACHMAT,ID,D,INDONESIAN,INDONESIA,812988601,0,812988601,2.77,Alamtri Resources Indonesia,T Permadi Rachmat,2026-03-10
2026-02-27,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,ID,D,INDONESIAN,INDONESIA,611849202,0,611849202,2.08,Alamtri Resources Indonesia,Sandiaga Salahuddin Uno,2026-03-10
